,0
0,A E C Enterprises Ltd.
1,Abhinandan Tradex Ltd.
2,Advance Powerinfra Tech Ltd.
3,Allied Blenders & Distillers Pvt. Ltd.
4,Anil Ltd.
5,Apex Auto Pvt. Ltd.
6,Aplaya Creations Ltd.
7,Ardor International Ltd.
8,Arihant Cotsyn Ltd.
9,Arise India Ltd.
10,Aryan Fine Fab Ltd.
11,Asian Cables & Inds. Ltd. [Merged]
12,Automobile Products Of India Ltd.
13,B P L Engineering Ltd.
14,B S Refrigerators Ltd.
15,Banco Products (India) Ltd.
16,Beacon Software Systems Ltd.
17,Beta Naphthol Ltd.
18,C F L Capital Financial Services Ltd.
19,Chem-Edge International Pvt. Ltd.
20,Cheviot International Ltd.
21,Clarisis Organics Ltd.
22,Conway Printers Ltd.
23,Crown Television Ltd.
24,D C M International Ltd.
25,D L F Universal Ltd.
26,D T D C Worldwide Express Ltd.
27,Denim Developers Ltd.
28,Dhar Cement Ltd.
29,Duck Tarpaulins Ltd.
30,Engineering Projects (India) Ltd.
31,Epsilon Industries Ltd.
32,Esskay Pharmaceuticals Ltd.
33,Future Axiom Telecom Ltd.
34,G S P L (India) Ltd.
35,G T C L Mobile-Com Technology Ltd.
36,Gallium Industries Ltd.
37,Geekay Exim (India) Ltd.
38,Global E-Solutions Ltd.
39,Gujarat Goldcoin Ceramics Ltd.
40,Gujarat Optical Communication Ltd.
41,Gujarat Perstorp Electronics Ltd.
42,Gupta Exim (India) Pvt. Ltd.
43,Hico Products Ltd.
44,Him Ispat Ltd.
45,India Glycols Ltd.
46,India Securities Ltd. [Merged]
47,Indian Products Pvt. Ltd.
48,Indiana Dairy Specialities Ltd.
49,Indianroots Shopping Ltd.
50,Inox India Pvt. Ltd.
51,Intercorridor Systems Ltd.
52,International Electron Devices Ltd.
53,J B F Industries Ltd.
54,J K Paper Ltd.
55,Jagat Trading Enterprises Ltd.
56,Jay Agrochem Ltd.
57,Jayant Paper Mills Ltd.
58,Jetking Infotrain Ltd.
59,Jhagadia Copper Ltd.
60,Kanoria Dyechem Ltd.
61,Karanpura Development Co. Ltd.
62,Karnataka Financial Services Ltd.
63,Kengold (India) Ltd.
64,Kingfisher Airlines Ltd.
65,Krishna Plastochem Ltd.
66,Magna Steyr India Pvt. Ltd. [Merged]
67,Mahendra Petrochemicals Ltd.
68,Mardia Chemicals Ltd.
69,Medexport (India) Ltd.
70,Metal Link Alloys Ltd.
71,Micro Forge (India) Ltd.
72,Mukund Syntex Ltd.
73,Nachmo Knitex Ltd.
74,Neel Industries Pvt. Ltd.
75,Nilgiri Tea Estates Ltd.
76,Nova Oleochem Ltd.
77,Nucor Wires Ltd.
78,Nufab Industries Ltd.
79,O T C Exchange Of India
80,Ojas Technochem Products Ltd.
81,Pam Systems Pvt. Ltd.
82,Planet 'M' Retail Ltd.
83,Plethico Pharmaceuticals Ltd.
84,Polar Pharma India Ltd.
85,R V R Technologies Ltd.
86,Raghav Industries Ltd.
87,Rahi Chemicals Ltd.
88,Religare Enterprises Ltd.
89,Rites Infrastructure Services Ltd.
90,Rosebys Interiors India Ltd.
91,S F L Industries Ltd.
92,S Kumars Textiles Ltd.
93,Samrat Ashoka Exports Ltd.
94,Sangam Aluminium Ltd.
95,Securekloud Technologies Ltd.
96,Shanti Intermediates Pvt. Ltd.
97,Shivani Vanaspati Ltd.
98,Shri Chamundeswari Minerals Ltd.
99,Shri Ishar Alloy Steels Ltd.
100,Shri Sainath Proteins Ltd.
101,Soundcraft Industries Ltd.
102,Span Allied Inds. Ltd.
103,Standard Industries Ltd.
104,Super Transports Pvt. Ltd.
105,Supreme Tex Mart Ltd.
106,Tesa Tapes (India) Pvt. Ltd.
107,Tirumala Technologies Ltd.
108,Toyo Engineering India Pvt. Ltd.
109,Trans India Glass Ltd.
110,Vee Kay Fibres Ltd.
111,Vidhi Industries Ltd.
112,Vinsura Winery Pvt. Ltd.
113,Wartsila India Pvt. Ltd.
114,Welspun India Ltd.
115,Wep Solutions Ltd.
116,Western Orissa Sugar Ltd.
